crop_name,adm_id,sos,eos
maize,CN061,123.951,266.192
maize,CN031,110.731,251.546
maize,CN050,112.326,251.195
maize,CN033,103.792,243.205
maize,CN036,91.134,223.625
maize,CN053,121.079,271.616
maize,CN037,125.305,265.925
maize,CN021,124.698,263.85
maize,CN054,121.109,269.805
maize,CN062,131.675,272.097
maize,CN081,105.0,221.0
maize,CN063,132.911,272.951
maize,CN011,124.993,263.424
maize,CN015,127.271,263.694
maize,CN042,117.759,252.338
maize,CN034,119.271,259.858
maize,CN052,114.986,259.338
maize,CN064,129.016,269.038
maize,CN032,121.119,265.128
maize,CN065,135.698,276.114
maize,CN014,125.143,264.836
maize,CN043,99.706,231.631
maize,CN051,120.715,267.752
maize,CN045,98.785,214.167
maize,CN022,122.785,267.858
maize,CN071,85.052,173.708
maize,CN013,125.605,263.801
maize,CN012,125.74,263.701
maize,CN044,99.086,209.976
maize,CN035,92.447,216.064
maize,CN023,122.014,264.544
maize,CN041,123.168,263.853
maize,CN046,114.02,202.402
